Designator,Mid X,Mid Y,Rotation,Layer
Q210,132.0292,-85.5726,0.0,top
Q211,133.975,-77.1875,90.0,top
Q212,125.7554,-93.7514,-90.0,top
Q301,151.9022,-104.476,180.0,top
Q302,156.4147,-104.481,0.0,bottom
Q501,125.549659,-81.47784,180.0,top
R1001,159.6898,-99.0854,90.0,top
R1002,162.13115,-81.2226,180.0,top
R1003,157.9372,-83.1088,0.0,bottom
R1101,147.07345,-71.0176,-90.0,bottom
R1102,150.32465,-68.1982,180.0,bottom
R1103,150.32465,-66.1408,0.0,bottom
R1201,151.8666,-97.2312,180.0,bottom
R1202,164.1602,-98.7298,90.0,bottom
R1203,148.0566,-99.5426,180.0,bottom
R1204,148.0488,-101.6526,180.0,bottom
R1205,151.892,-89.7382,180.0,top
R1206,151.8666,-102.0572,0.0,bottom
R1207,151.8666,-99.5426,0.0,bottom
R1208,156.4132,-97.8916,0.0,bottom
R1209,156.4132,-89.3826,180.0,bottom
R201,122.936,-86.8172,90.0,top
R202,125.128,-86.8172,90.0,top
R203,152.1968,-78.5622,0.0,top
R204,148.3614,-78.5622,180.0,top
R205,144.3228,-103.9622,180.0,top
R206,136.2456,-68.4784,180.0,bottom
R207,137.4394,-95.7072,0.0,bottom
R208,148.0566,-97.2312,0.0,bottom
R209,137.4394,-93.5228,0.0,bottom
R210,124.1044,-98.0694,0.0,bottom
R211,132.4864,-109.6029,-90.0,top
R212,137.8204,-89.1051,-90.0,top
R213,130.937,-89.6366,90.0,top
R214,129.4107,-106.7156,180.0,top
R215,133.2,-81.5125,90.0,top
R216,138.8618,-107.4166,90.0,bottom
R217,130.95,-81.5125,-90.0,top
R218,140.953853,-107.4166,-90.0,bottom
R219,137.2616,-77.219766,90.0,top
R220,139.7508,-77.219766,90.0,top
R221,122.936,-93.726,-90.0,top
R222,125.7554,-90.6018,0.0,top
R301,150.9522,-108.0789,-90.0,bottom
R302,153.0096,-108.0789,-90.0,bottom
R303,155.2956,-108.0789,-90.0,top
R304,157.353,-108.0789,-90.0,top
R401,136.496947,-107.427734,90.0,bottom
R501,128.725,-81.505659,-90.0,top
R701,144.2974,-98.2218,0.0,top
R702,148.717,-98.9565,90.0,top
R703,148.717,-103.2275,-90.0,top
R704,130.937,-93.853,-90.0,top
R705,134.0123,-92.0242,180.0,top
R706,146.4818,-94.8944,-90.0,top
R707,137.16,-94.8944,90.0,top
R708,139.5476,-94.8944,90.0,top
R709,148.717,-94.8944,90.0,top
R710,132.5861,-115.7986,180.0,top
R711,150.876,-118.0592,180.0,bottom
R712,154.9146,-115.7986,180.0,top
R713,150.8506,-115.7986,180.0,top
R714,150.876,-118.0592,180.0,top
R715,150.8506,-111.2774,0.0,top
R801,145.8976,-63.4746,180.0,bottom
R802,139.5204,-65.169119,90.0,bottom
RT701,144.1958,-94.8944,90.0,top
RT702,141.9098,-94.8944,90.0,top
SW1001,162.0931,-102.489,0.0,bottom
SW1002,162.052,-104.4956,0.0,bottom
SW201,143.502594,-67.9958,-90.0,top
SW202,143.546947,-118.827734,180.0,bottom
SW203,118.5444,-82.387481,0.0,top
TH301,157.346947,-112.552734,-90.0,bottom
TH302,130.7846,-112.352734,-90.0,bottom
U1001,163.322,-89.7382,90.0,top
U1101,150.24845,-71.0082,0.0,bottom
U1102,144.2974,-83.3882,180.0,bottom
U201,144.2974,-85.1408,0.0,top
U301,148.028547,-107.751534,90.0,top
U401,131.196947,-106.177734,0.0,bottom
U501,118.3888,-77.7026,0.0,top
U601,123.059,-89.6874,0.0,bottom
U701,144.3228,-101.092,180.0,top
U702,143.978547,-107.714034,90.0,top
U801,143.622,-66.8902,0.0,bottom
U901,164.995547,-89.749653,180.0,bottom
